#,securityParam,x1,x2,x3,bgvkeygenRtime,bgvencryptTime,bgvMultTime,bgvAddTime,bgvDecryptTime,bfvkeygenRtime,bfvencryptTime,bfvMultTime,bfvAddTime,bfvDecryptTime,ckkskeygenRtime,ckksencryptTime,ckksMultTime,ckksAddTime,ckksDecryptTime
61,8192,648,886,945,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
61,16384,648,886,945,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
61,32768,648,886,945,390,49,243,4,11,350,27,552,3,12,363,41,206,3,37
62,8192,726,872,807,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
62,16384,726,872,807,62,12,42,1,2,56,7,110,0,3,55,10,33,0,6
62,32768,726,872,807,398,49,250,5,12,359,27,553,3,12,361,41,205,3,37
63,8192,341,923,512,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
63,16384,341,923,512,63,13,42,1,2,57,7,110,0,3,55,10,33,0,5
63,32768,341,923,512,390,49,239,4,11,351,27,550,3,12,364,40,206,3,37
64,8192,574,469,669,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
64,16384,574,469,669,62,13,42,1,2,57,7,110,0,3,55,10,33,0,5
64,32768,574,469,669,390,50,241,5,10,351,27,551,3,12,365,39,207,3,37
65,8192,425,885,174,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
65,16384,425,885,174,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
65,32768,425,885,174,390,49,240,5,11,351,27,551,3,12,348,41,208,3,37
66,8192,975,329,706,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
66,16384,975,329,706,62,13,42,1,2,56,7,110,0,3,55,10,34,0,5
66,32768,975,329,706,390,50,241,5,10,351,27,552,3,12,363,41,207,3,37
67,8192,940,434,761,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
67,16384,940,434,761,62,13,42,1,2,56,7,111,0,3,55,10,33,0,6
67,32768,940,434,761,390,50,241,5,10,352,27,552,3,12,364,41,209,3,37
68,8192,344,120,15,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
68,16384,344,120,15,62,13,42,1,2,56,7,110,0,3,54,10,33,0,6
68,32768,344,120,15,390,50,242,5,10,350,27,553,3,12,366,40,207,3,36
69,8192,163,436,605,10,3,8,0,0,9,2,22,0,0,9,2,5,0,0
69,16384,163,436,605,62,13,42,1,2,56,7,111,0,3,54,10,33,0,6
69,32768,163,436,605,390,49,240,4,11,350,27,550,3,12,363,40,206,3,36
70,8192,329,868,835,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
70,16384,329,868,835,63,13,42,1,2,56,7,110,0,3,55,10,33,0,6
70,32768,329,868,835,391,50,241,4,10,351,26,552,3,12,365,39,206,3,37
71,8192,545,372,65,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
71,16384,545,372,65,62,13,43,1,2,56,7,110,0,3,55,10,34,0,5
71,32768,545,372,65,390,49,239,5,11,351,26,550,3,12,362,41,206,3,36
72,8192,509,925,274,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
72,16384,509,925,274,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
72,32768,509,925,274,390,49,240,4,11,351,27,551,3,12,361,41,205,3,37
73,8192,35,191,131,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
73,16384,35,191,131,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
73,32768,35,191,131,390,49,239,5,11,352,27,551,3,12,364,40,209,3,36
74,8192,955,162,297,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
74,16384,955,162,297,62,13,42,1,2,56,7,111,0,3,54,10,33,0,6
74,32768,955,162,297,390,49,240,5,11,350,27,550,3,12,362,41,206,3,37
75,8192,112,321,139,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
75,16384,112,321,139,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
75,32768,112,321,139,392,50,243,5,10,351,27,556,3,12,364,41,206,3,37
76,8192,17,946,40,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
76,16384,17,946,40,62,13,42,1,2,56,7,111,0,3,55,10,33,0,6
76,32768,17,946,40,390,49,240,5,11,351,27,553,3,12,363,41,206,3,37
77,8192,260,929,867,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
77,16384,260,929,867,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
77,32768,260,929,867,390,50,241,5,10,351,27,555,3,12,349,39,206,3,36
78,8192,457,773,294,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
78,16384,457,773,294,62,13,43,1,2,56,7,111,0,3,54,10,36,1,6
78,32768,457,773,294,392,49,245,4,11,351,27,554,3,12,361,41,205,3,37
79,8192,723,67,557,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
79,16384,723,67,557,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
79,32768,723,67,557,391,49,240,5,10,350,27,549,3,12,363,41,206,3,37
80,8192,81,681,509,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
80,16384,81,681,509,62,13,43,1,2,56,7,110,0,3,54,10,33,0,5
80,32768,81,681,509,391,50,241,5,10,351,28,560,3,12,348,39,206,3,36
81,8192,853,636,644,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
81,16384,853,636,644,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
81,32768,853,636,644,390,49,240,5,10,351,27,561,3,12,363,39,206,3,37
82,8192,559,512,396,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
82,16384,559,512,396,62,13,43,1,2,56,7,110,0,3,54,10,33,0,6
82,32768,559,512,396,390,50,241,4,10,352,27,552,3,12,364,40,206,3,37
83,8192,319,972,236,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
83,16384,319,972,236,64,13,43,1,2,58,7,110,0,3,55,10,33,0,5
83,32768,319,972,236,390,50,241,5,10,351,27,552,3,12,362,40,205,3,37
84,8192,961,558,739,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
84,16384,961,558,739,62,13,43,1,2,56,7,110,0,3,55,10,34,1,6
84,32768,961,558,739,390,51,242,5,11,350,27,552,3,12,367,41,206,3,37
85,8192,954,246,894,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
85,16384,954,246,894,62,13,43,1,2,56,7,110,0,3,56,10,33,0,6
85,32768,954,246,894,395,50,241,4,10,355,27,550,3,12,364,39,206,3,38
86,8192,947,395,969,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
86,16384,947,395,969,64,13,43,1,2,56,7,110,0,3,54,10,34,0,6
86,32768,947,395,969,391,49,239,4,10,351,27,550,3,12,363,41,205,3,37
87,8192,674,440,860,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
87,16384,674,440,860,62,13,42,1,2,56,7,111,0,3,55,10,34,0,5
87,32768,674,440,860,396,49,243,5,10,356,27,552,3,12,363,41,206,3,37
88,8192,72,529,244,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
88,16384,72,529,244,62,13,43,1,2,56,7,110,0,3,54,10,34,0,6
88,32768,72,529,244,390,50,241,5,11,351,27,552,3,12,365,39,206,3,37
89,8192,990,401,981,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
89,16384,990,401,981,63,13,42,1,2,57,7,110,0,3,55,10,33,0,6
89,32768,990,401,981,391,49,240,4,11,350,27,553,3,12,357,41,206,3,37
90,8192,199,497,263,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
90,16384,199,497,263,62,12,43,1,2,56,7,110,0,3,55,10,34,0,6
90,32768,199,497,263,394,49,242,5,10,351,27,552,3,12,363,41,206,3,37
91,8192,942,114,67,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
91,16384,942,114,67,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
91,32768,942,114,67,390,50,241,5,10,351,27,554,3,12,350,39,206,3,38
92,8192,647,785,410,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
92,16384,647,785,410,63,13,43,1,2,57,7,110,0,3,55,10,34,0,6
92,32768,647,785,410,390,50,241,5,10,354,27,552,3,12,363,40,205,3,38
93,8192,995,114,804,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
93,16384,995,114,804,63,13,43,1,2,57,7,110,0,3,55,10,34,0,5
93,32768,995,114,804,390,50,240,5,10,351,27,554,3,12,363,40,206,3,36
94,8192,46,661,94,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
94,16384,46,661,94,62,13,43,1,2,56,7,110,0,3,55,10,33,0,5
94,32768,46,661,94,390,50,241,5,10,351,26,551,3,13,363,41,206,3,37
95,8192,453,553,981,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
95,16384,453,553,981,62,13,43,1,2,56,7,110,0,3,55,10,34,0,5
95,32768,453,553,981,390,50,241,4,11,350,27,560,3,12,355,39,207,3,37
96,8192,765,263,636,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
96,16384,765,263,636,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
96,32768,765,263,636,395,50,241,5,10,355,27,554,3,12,364,39,205,3,37
97,8192,821,761,785,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
97,16384,821,761,785,62,13,43,1,2,56,7,110,0,3,54,10,33,0,6
97,32768,821,761,785,389,49,239,5,10,352,27,551,3,12,364,41,206,3,37
98,8192,196,515,98,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
98,16384,196,515,98,62,13,43,1,2,56,7,110,0,3,54,10,33,0,6
98,32768,196,515,98,390,50,241,5,10,350,27,552,3,12,363,41,206,3,37
99,8192,187,444,48,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
99,16384,187,444,48,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
99,32768,187,444,48,390,49,239,5,11,350,26,552,3,12,363,41,206,3,37
100,8192,205,723,875,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
100,16384,205,723,875,62,13,43,1,2,56,7,110,0,3,54,10,33,0,6
100,32768,205,723,875,390,50,241,4,10,351,27,552,3,12,363,40,206,3,37
101,8192,58,204,242,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
101,16384,58,204,242,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
101,32768,58,204,242,390,52,245,5,11,351,27,553,3,12,350,39,206,3,37
102,8192,843,981,980,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
102,16384,843,981,980,62,13,43,1,2,56,7,111,1,3,55,10,34,1,6
102,32768,843,981,980,390,49,240,5,11,351,27,551,3,12,364,41,206,3,37
103,8192,147,77,921,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
103,16384,147,77,921,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
103,32768,147,77,921,390,50,241,4,10,352,27,553,3,12,365,39,207,4,37
104,8192,193,108,440,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
104,16384,193,108,440,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
104,32768,193,108,440,390,50,241,5,10,350,27,551,3,12,364,39,206,3,37
105,8192,818,548,208,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
105,16384,818,548,208,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
105,32768,818,548,208,390,49,241,4,11,351,27,551,3,12,363,40,206,3,37
106,8192,804,170,247,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
106,16384,804,170,247,62,13,43,1,2,56,7,110,0,3,55,10,34,0,6
106,32768,804,170,247,390,49,241,4,10,351,27,551,3,12,364,41,206,3,36
107,8192,906,207,666,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
107,16384,906,207,666,62,13,43,1,2,55,7,110,0,3,55,10,33,0,6
107,32768,906,207,666,390,49,239,5,11,355,27,551,3,12,363,40,206,3,37
108,8192,611,918,954,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
108,16384,611,918,954,62,13,43,1,2,55,7,110,0,3,56,10,34,0,6
108,32768,611,918,954,392,49,240,4,11,350,27,550,3,12,363,40,206,3,36
109,8192,542,232,794,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
109,16384,542,232,794,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
109,32768,542,232,794,390,50,241,5,10,351,27,554,3,12,364,39,208,3,37
110,8192,586,253,716,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
110,16384,586,253,716,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
110,32768,586,253,716,389,49,240,4,11,350,26,550,3,12,363,41,209,3,38
